"Year","Quantity","Assessment_Year","Value"
2003,"SSB (MT)","2021",75410.6
2004,"SSB (MT)","2021",82490
2005,"SSB (MT)","2021",90497
2006,"SSB (MT)","2021",95212.3
2007,"SSB (MT)","2021",96184.2
2008,"SSB (MT)","2021",94814
2009,"SSB (MT)","2021",91041.9
2010,"SSB (MT)","2021",85111.8
2011,"SSB (MT)","2021",80351.5
2012,"SSB (MT)","2021",79223
2013,"SSB (MT)","2021",79605.1
2014,"SSB (MT)","2021",80187.9
2015,"SSB (MT)","2021",79676.1
2016,"SSB (MT)","2021",78633.2
2017,"SSB (MT)","2021",79326.7
2018,"SSB (MT)","2021",80687.2
2019,"SSB (MT)","2021",83925.1
2020,"SSB (MT)","2021",90756.5
2021,"SSB (MT)","2021",97801.9
1888,"SSB (MT)","2023",186534
1889,"SSB (MT)","2023",186534
1890,"SSB (MT)","2023",179356
1891,"SSB (MT)","2023",178887
1892,"SSB (MT)","2023",178397
1893,"SSB (MT)","2023",177885
1894,"SSB (MT)","2023",177343
1895,"SSB (MT)","2023",176770
1896,"SSB (MT)","2023",176166
1897,"SSB (MT)","2023",175534
1898,"SSB (MT)","2023",174876
1899,"SSB (MT)","2023",174191
1900,"SSB (MT)","2023",173481
1901,"SSB (MT)","2023",172730
1902,"SSB (MT)","2023",171938
1903,"SSB (MT)","2023",171104
1904,"SSB (MT)","2023",170227
1905,"SSB (MT)","2023",169308
1906,"SSB (MT)","2023",168373
1907,"SSB (MT)","2023",167411
1908,"SSB (MT)","2023",166417
1909,"SSB (MT)","2023",165427
1910,"SSB (MT)","2023",164375
1911,"SSB (MT)","2023",163260
1912,"SSB (MT)","2023",162083
1913,"SSB (MT)","2023",160845
1914,"SSB (MT)","2023",159546
1915,"SSB (MT)","2023",158189
1916,"SSB (MT)","2023",156775
1917,"SSB (MT)","2023",154867
1918,"SSB (MT)","2023",152615
1919,"SSB (MT)","2023",149827
1920,"SSB (MT)","2023",148074
1921,"SSB (MT)","2023",146455
1922,"SSB (MT)","2023",144686
1923,"SSB (MT)","2023",143067
1924,"SSB (MT)","2023",141098
1925,"SSB (MT)","2023",138921
1926,"SSB (MT)","2023",136571
1927,"SSB (MT)","2023",134417
1928,"SSB (MT)","2023",131817
1929,"SSB (MT)","2023",129324
1930,"SSB (MT)","2023",126656
1931,"SSB (MT)","2023",123750
1932,"SSB (MT)","2023",121436
1933,"SSB (MT)","2023",119005
1934,"SSB (MT)","2023",116737
1935,"SSB (MT)","2023",113935
1936,"SSB (MT)","2023",110779
1937,"SSB (MT)","2023",108118
1938,"SSB (MT)","2023",105435
1939,"SSB (MT)","2023",102917
